,Datetime,Tweet Id,Text,Username
0,2015-11-30 22:41:04+00:00,671458953469947904,"Naira Loses Value Yet Again, Now Exchanges At 242.5 Naira/Dollar https://t.co/gieJryVvWp",nglatestcom
1,2015-11-30 15:42:59+00:00,671353741803692032,"And it's not just the money for me, it's providing value that's worth a million naira that excites me most.I pray I do it through Codaye too",steveamaza
2,2015-11-30 15:21:10+00:00,671348248309866498,What is the Naira Value of a Service? More on Customer Service 4 Ur Small Biz @ 70% discount @elrufai @TonyOElumelu https://t.co/ROFzE0IzUT,better_radio
3,2015-11-30 15:21:10+00:00,671348248280436737,What is the Naira Value of a Service? More on Customer Service 4 Ur Small Biz @ 70% discount @elrufai @TonyOElumelu https://t.co/OBNCNiqO97,Tonylex6
4,2015-11-30 15:21:10+00:00,671348248221757440,What is the Naira Value of a Service? More on Customer Service 4 Ur Small Biz @ 70% discount @elrufai @TonyOElumelu https://t.co/WqMSCWytFh,learning_bee
5,2015-11-30 15:19:58+00:00,671347948148678656,What is the Naira Value of a Service? More on Customer Service 4 Ur Small Biz @ 70% discount @inya01 @GbitseBarrow https://t.co/oiDgGfIpQL,learning_bee
6,2015-11-30 13:05:48+00:00,671314184865378308,"Truly @GarShehu says the result are here, like fuel scarcity, regular bomb blasts, Naira losing value et al, these are the results",Roland_speaks
7,2015-11-30 10:53:57+00:00,671281001717350400,#naira @Frosh_Pikin: What Currency has  the highest value?  #Extra200kmonthly,Harlaby
8,2015-11-30 08:08:22+00:00,671239330594168832,"Prepaid or post paid metres, value for all NAIRA spent should be wholly enjoyed on power.",xtrimlysoccer
9,2015-11-29 21:56:52+00:00,671085442570260481,"""@LADYY_KIRAAH: Once he stops cleaning his apartment before you come over, sister, your value has dropped like naira. ���� Not interested☹☹",isma7lee
10,2015-11-28 23:27:02+00:00,670745746879193089,"In your industry, how is the value of the Naira to the dollar impacting imports and business?",MomentswithStan
11,2015-11-28 22:14:25+00:00,670727470715420676,Value of Naira drops at Parallel Market https://t.co/vgQeTRR9nb https://t.co/uzvJZcUcFx,trendynewsmagg
12,2015-11-28 19:32:07+00:00,670686626562097152,Value of Naira drops at Parallel Market https://t.co/vgQeTRR9nb https://t.co/0UOCgDxn3f,trendynewsmagg
13,2015-11-28 18:38:08+00:00,670673040980754432,Our foreign reserves have been spent and the value of the naira has depreciated since you came to power and it continues to fall.,oliversimon3
14,2015-11-28 17:20:36+00:00,670653530735304704,Value of Naira drops at Parallel Market https://t.co/vgQeTRR9nb https://t.co/0Tj4OH3zXH,trendynewsmagg
15,2015-11-28 15:08:24+00:00,670620262623256576,Value of Naira drops at Parallel Market https://t.co/vgQeTRR9nb https://t.co/9k3VmrTqoh,trendynewsmagg
16,2015-11-28 09:16:17+00:00,670531648895787009,Value of Naira drops at Parallel Market https://t.co/vgQeTRR9nb https://t.co/1jcMvXum4U,trendynewsmagg
17,2015-11-28 07:15:43+00:00,670501308516999168,"@889BrilaFM #MSS . Ogem, doze  monies, per week faa ? my body dey shake. Esp d value in naira.",ebonne_uche
18,2015-11-28 07:11:42+00:00,670500296985067520,"#MSS .Ogem, as Oga dey call d money n as u dey interpret d value in naira, my body dey shake.",ebonne_uche
19,2015-11-27 19:10:03+00:00,670318688021561344,Load 200 Naira  and have the value of 1200 as you get free 200mb on  recharge. Read more below https://t.co/N6xdy9iaS5,Oworock
20,2015-11-27 16:59:34+00:00,670285850387853312,"or d unavailability of fuel??  😡😡 ""@the_realCAESAR: Like how will this affect naira value 😢😢 https://t.co/EX7KtSq0ex""",FaladeTolu_
21,2015-11-27 16:54:50+00:00,670284658144333824,Like how will this affect naira value 😢😢 https://t.co/V7eLNI2KRq,the_realCAESAR
22,2015-11-27 15:51:25+00:00,670268700860268549,"Im dead....someone shoot me
Naira value is gone finally!
$1= 250
£1 350",Obieze__
23,2015-11-27 15:35:51+00:00,670264782700675072,Global liquidity to drive naira value as CBN confronts new era - (via FinaBiz) https://t.co/2Rxf3UChnd,finabiz
24,2015-11-27 15:21:33+00:00,670261182251560960,Nigerian's Wants PMB to restore the value of naira wiz dollar equivalent during his military regime...,AbdulladifN
25,2015-11-27 14:01:26+00:00,670241019670097920,I will make naira equal in value to dollar – Buhari https://t.co/D8I4ZOmo8T #Veenaija,veenaija247
26,2015-11-27 08:39:19+00:00,670159957124231168,@MrAyeDee this not an accurate comparison. Whats d value of Naira to Dollar in 1999? What was the cost of a bag of rice in 1999?,uwakings1
27,2015-11-26 23:39:20+00:00,670024067114803200,Naira value ooo,_yoko23
28,2015-11-26 14:23:52+00:00,669884279384592384,@SaharaReporters Why won't they have stress since Naira have no value,33685c8c560a4fe
29,2015-11-26 12:11:53+00:00,669851064397602816,"I’ll make Naira equal in value to dollar, says Buhari - Vanguard News https://t.co/uAUToConJW",christiansolven
30,2015-11-26 11:25:42+00:00,669839440056074240,"""@DailyPostNGR: I will make naira equal in value to dollar - Buhari - https://t.co/LoN5WqAqCQ""
oya naa roll out the ebo, otumokpor and juju",Prospy10
31,2015-11-25 21:44:51+00:00,669632866595282944,So has the news of Tonto Dikeh's pregnancy help boost the value of Naira?,SirSelim
32,2015-11-25 20:46:08+00:00,669618092994007044,".
Naira strengthens value against Dollar at parallel market 

See full details.. (https://t.co/7VqOZyfkAS) https://t.co/BIpsecZOEA",adelovecom
33,2015-11-25 20:45:59+00:00,669618054356070400,".
Naira strengthens value against Dollar at parallel market 

See full details (https://t.co/rZ37AFkv37) https://t.co/0a3nEPdmJ5",adelovecom
