,Datetime,Tweet Id,Text,Username
0,2014-11-30 20:16:29+00:00,539150999634845698,"@bhurharhi higher, because naira has low value since it is not backed by transactions where d exporting country pays 4value to Nigeria...",411sevices
1,2014-11-30 20:13:52+00:00,539150338461540352,"AntiGayLaw - Gone
Naira Value - what value?
Our say in international business - Gone
Our Property - X
High ass Taxes - Hell yea
Need I go on",thetitoway
2,2014-11-30 20:08:51+00:00,539149076991082497,"@remiopakunle maybe not. Thinking of head lamps, car seats, rugs, belts, maybe tyres. Reduce import. Create value for Naira.",doysol_
3,2014-11-30 16:14:40+00:00,539090142670364672,I just lost like $70 because Naira value went down. Tf is wrong with Nigeria,TomiwaBrown
4,2014-11-30 15:42:59+00:00,539082169986351105,In 30yrs the value of naira was murdered! E,DaddyChelsea
5,2014-11-30 14:32:14+00:00,539064364184395776,Probably when the Naira still had some value. #Nigeria #Naira #Fact #Throwback http://t.co/RGx70HOBCL,SirLogix
6,2014-11-30 10:21:57+00:00,539001377612398592,@SouthAfrica_bad @FOLLOWTRAINRSA @RealIdrisSultan @imolitegirl @heywhyhoney @abbieVon it's the naira that's losing value today.,Nigerian_Anger
7,2014-11-30 00:31:12+00:00,538852712432279552,"""@TheRougelady: Value of Naira steady dropping 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭""lol 😒",zoobeeykillz
8,2014-11-29 23:28:00+00:00,538836806129954817,@SouthAfrica_bad @FOLLOWTRAINRSA @RealIdrisSultan @imolitegirl @heywhyhoney @abbieVon the value(or lack thereof)of the naira says it doesn't,Nigerian_Anger
9,2014-11-29 23:13:41+00:00,538833204510474240,Economist predicts further crash in naira value before year end  THE crash in the value of the naira to its curr... http://t.co/GTCvwfw2bD,FindNigeria
10,2014-11-29 21:41:16+00:00,538809945580654592,Value of Naira steady dropping 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,UduakJ_x
11,2014-11-29 21:40:31+00:00,538809757344493568,"""The word you're looking for is 'steadily'. @TheRougelady: Value of Naira steadying dropping 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭""",Olumba_
12,2014-11-29 21:39:18+00:00,538809452154335232,Naira keeps losing value. Is this supposed to discourage us from shopping on foreign websites?,imogiemubarak
13,2014-11-29 17:50:50+00:00,538751955141939200,Over 10 Million Naira spend in Restaurant Escape #LagosNigeria WITHOUT Value Added Tax (VAT). Imagine what a lost! @thecableng @lindaikeji,NwaAke
14,2014-11-29 13:07:14+00:00,538680585477431297,@Jolikopeseyi you can reduce hunger by importing food. One sign would be an improvement in the value of our Naira bt it's not so,mcspella
15,2014-11-29 10:32:25+00:00,538641624411418624,"@fresh_princejay LOOL, I just need a Chance which would be Soonest.. I'm fucking turning back until 5 Naira gat value again",iJeje_xx
16,2014-11-29 09:32:53+00:00,538626641397051392,Market Value appreciates by N163.17bn in the week amid Naira devaluation http://t.co/G4SjTy3Qqj #MarketUpdate,proshare
17,2014-11-29 07:02:42+00:00,538588847186411520,"Foreign reserve dropped to 37b, Naira value falls to 178 and our economy has improved ""they said"" ""@BsizzlinRedHawt: Oil price below $70! O.",swish_mr
18,2014-11-29 07:01:55+00:00,538588652209979392,"I feel, the time police stopped taking 20naira that's when 20 naira lost most of itz value.",_abellilo
19,2014-11-29 06:05:57+00:00,538574564411076608,Impact of falling Naira Value http://t.co/OhrFKna83e,abipharmus
20,2014-11-29 05:03:26+00:00,538558834022043648,"NSE Market Value Gain N163 billion Amidst Declining Oil Prices, Naira Devaluation http://t.co/jgGwsmnUo4",investadvocate
21,2014-11-29 04:44:58+00:00,538554187844681728,Naira Devaluation:CBN action 2 reduce value of Naira against dollar etc so as 2 make our export cheaper in foreign markets#FinancialBuzzWord,enioalaadebayo
22,2014-11-29 04:22:18+00:00,538548480008929280,"Bombing in Kano, a shocking reminder that the naira a piece of paper has more value than our lives. Give value to our lives!",joemuagba
23,2014-11-29 04:17:01+00:00,538547150825992192,Naira devaluation boosts equity market value by N163bn http://t.co/63d4eWJXYB,talkvital
24,2014-11-29 01:47:59+00:00,538509646160723968,Naira value dips further at trading segments - Angelic-Ella's Blog http://t.co/59NqWZboK8,TheReal_BigmanE
25,2014-11-28 16:53:53+00:00,538375237264764928,"Na sooo""@A_Almuhamsay: Nothing has value in 9ja now....Naira? no value! Lives? No value also! :(""",Ibrahim_Bello_
26,2014-11-28 16:16:42+00:00,538365879055298560,"""@A_Almuhamsay: Nothing has value in 9ja now....Naira? no value! Lives? No value also! :(""",qaadee
27,2014-11-28 16:15:36+00:00,538365601958219777,Naira value just gonna keep dropping huh,Its_Sophie_A
28,2014-11-28 16:03:00+00:00,538362431853322240,"So so scary!!! RT""@A_Almuhamsay: Nothing has value in 9ja now....Naira? no value! Lives? No value also! :(”",MKabrik
29,2014-11-28 15:39:41+00:00,538356564902821888,Market Value appreciates by N163.17bn in the week amid Naira devaluation http://t.co/4MWGkxO5A8,proshare
30,2014-11-28 15:14:50+00:00,538350308452466688,Nothing has value in 9ja now....Naira? no value! Lives? No value also! :(,A_Almuhamsay
31,2014-11-28 13:29:18+00:00,538323752518696960,"Depreciation of Naira: Drop in d VALUE of Naira relative 2 dollar, such that 1Naira now buys less dollar than previously #FinancialBuzzWord",enioalaadebayo
32,2014-11-28 13:10:42+00:00,538319069204996096,"Photos : Our Naira keeps devaluating and the Minister of Finance says ""Don't panic!"":  The value of our naira ... http://t.co/a4tbgisKge",its_3lvyz
