,Datetime,Tweet Id,Text,Username
0,2014-11-30 23:51:38+00:00,539205141514452992,"Naira devaluation will have Mixed effect on economy-Economist
 http://t.co/35mK7Zv5ve @NigeriaNewsdesk @FT @FinancialTimes #dollar #Nigeria",naijanewso
1,2014-11-30 23:38:47+00:00,539201906489294848,"Nigeria: Our oyel money, dollar, naira, and follies of the heart - by Prince Charles Dickson  | ...read more at http://t.co/5FCtiBqXPB",Village_Square
2,2014-11-30 23:21:23+00:00,539197530530013185,"Nigeria: Our oyel money, dollar, naira, and follies of the heart By Prince Charles Dickson http://t.co/7lQ1T87oaB",EagleReporters
3,2014-11-30 23:21:18+00:00,539197507394629633,"Nigeria: Our oyel money, dollar, naira, and follies of the heart By Prince Charles Dickson http://t.co/8IO1PLrw4j http://t.co/p09oUy4A66",EagleReporters
4,2014-11-30 23:10:02+00:00,539194674096144384,#Ginjaland | News: Falling oil price: CBN cuts exchange rate of naira to dollar by N13 - http://t.co/NmVqnDrFIp,ginjaland
5,2014-11-30 21:58:05+00:00,539176568363696128,"No maan tell these sucker's to wise up, ngi'funa konke zonke, I want the title, Ama Rand ama Dollar baba nalama Naira.",iPrinceMaseko
6,2014-11-30 19:55:17+00:00,539145661183430656,They hav killed my Naira for me. Jeez. 180 to a Dollar nw😓😭😭😭😭,Ephis_xiv
7,2014-11-30 19:37:00+00:00,539141061915213825,@doyinokupe @mochips77 @OlusegunAdekoy2 are u insane??A trillion naira budget &amp; an xtra billion dollar.Where's the result of that?,deerumens
8,2014-11-30 18:56:53+00:00,539130966040530945,"Our oyel money, dollar, naira, and follies of the heart: The owner of the body does not say that he is in no p... http://t.co/EsuTObONCG",TheNigerianVoic
9,2014-11-30 18:44:34+00:00,539127868119191552,"Our oyel money, dollar, naira, and follies of the heart http://t.co/aZ121wcp4k",honoflife
10,2014-11-30 18:37:12+00:00,539126014123581440,"Our oyel money, dollar, naira, and follies of the heart: The owner of the body does not say that he is in no p... http://t.co/PnGNhE7bLV",aizeecom
