,Datetime,Tweet Id,Text,Username
0,2017-11-30 23:23:59+00:00,936375284026171392,"BUHARI’S GREATEST HITS
Fighting national health with medical tourism
Fighting national integration with Fulani herdsmen
Fighting unemployment with nepotism
Fighting federal character with 97% &amp; 5%.
Fighting Boko Haram with Jonathan’s weapons
Making the naira equal to the dollar.",ChibuchiOsita
1,2017-11-30 23:08:11+00:00,936371306735525889,"@kelvinbraide @dru_yaegar Man pass man 
Water pass gari
Dollar pass naira
Euro pass dollar
Pound sterling pass Euro...

Chaii, there is God wooo!

Women? If you no fear them, you are absolutely on your won.",walin_kags
2,2017-11-30 21:15:45+00:00,936343014301229057,Dollar not Naira,peekaymila
3,2017-11-30 19:39:24+00:00,936318766698434564,"#np dollar and naira - @officialwhizper Cc: @eclanrecords 
#solidblast jamz mixes with @djkoolboi9ja",solid1009
4,2017-11-30 18:10:12+00:00,936296317013381120,"BUHARI’S GREATEST HITS
Fighting national health with medical tourism
Fighting national integration with Fulani herdsmen
Fighting unemployment with nepotism
Fighting federal character with 97% &amp; 5%.
Fighting Boko Haram with Jonathan’s weapons
Making the naira equal to the dollar.",mazijaka1905
5,2017-11-30 17:19:28+00:00,936283552093786112,"BUHARI’S GREATEST HITS
Fighting national health with medical tourism
Fighting national integration with Fulani herdsmen
Fighting unemployment with nepotism
Fighting federal character with 97% &amp; 5%.
Fighting Boko Haram with Jonathan’s weapons
Making the naira equal to the dollar.",femiaribisala
6,2017-11-30 14:58:18+00:00,936248026351521792,Wow Mr Eazi fell like the value of Naira against the dollar.,That_IjebuBadoo
7,2017-11-30 13:37:43+00:00,936227744207253504,"Exchange Rate 30/11/17: See Today’s Naira Rate Against Dollar, Pound And Euro - https://t.co/qWtBCjRWIt https://t.co/hGTcXeVJ9J",OkayNigeria
8,2017-11-30 11:56:20+00:00,936202230243446785,"Make you spray us with Naira and Dollar when you dey for stage, we have not experienced dis kind ting before 💸 https://t.co/iKTB1MzSJz",OleSabrinaM
9,2017-11-30 11:47:40+00:00,936200049117110272,"Today's Dollar to Naira Black market rates, BDC rates and official rates updated. Visit… https://t.co/7rZ68RBkZN",WetinBeRate
