,Datetime,Tweet Id,Text,Username
0,2016-11-30 21:45:18+00:00,804078878021087232,@gtbank_help pls can i use my g.t naira master card for online dollar payment transactions,VictorEzerie
1,2016-11-30 21:43:20+00:00,804078383592304640,"If one million people give you one cedi, one naira, one dollar, one rand ... you would have one million of... https://t.co/uPw0L4Ov9X",kenigiri
2,2016-11-30 21:39:13+00:00,804077347133652992,@gtbank_help pls can i use my g.t naira master card for online dollar paymemt transactions,VictorEzerie
3,2016-11-30 21:11:22+00:00,804070337600229376,"The Naira continues to nosedive at the parallel market, closing at N480 to a dollar, while the Pounds and the... https://t.co/BkSkyXzOUT",iam_mcsenator
4,2016-11-30 19:39:09+00:00,804047131388608514,The only prediction I want to hear is when one naira will be equal to one dollar. https://t.co/YzzYIOs20W,kolayeni
5,2016-11-30 19:07:44+00:00,804039226073477120,Hope the Dollar/Naira exchange rate did that  #PEPSITurnDown2TurnUp,Easykobo
6,2016-11-30 18:32:11+00:00,804030280029917184,@Oddy4real Dollar and Data really Cheating Naira,Petenej
7,2016-11-30 17:19:29+00:00,804011982169014272,"A lot has changed. Naira is now almost #500 to a dollar.

Prices of virtually everything has been hiked.

Many... https://t.co/P7Zc7opN0d",OJ_Olalere
8,2016-11-30 17:19:14+00:00,804011919493529600,#Naira appreciated by 0.08% against #Dollar to close at N305.00 at Interbank FX Market. But traded flat at N399.00 at parallel market,TheAnalystNG
9,2016-11-30 17:09:53+00:00,804009568909062144,"@Gidi_Traffic The Naira on Wednesday appreciated marginally against the dollar at the interbank market, gaining 25k to exchange at N305",eniolaofLagos
10,2016-11-30 16:59:30+00:00,804006953643114499,So will they increase the data later when naira = N1000 to a dollar.... cos that would be so pricy oh! 🙆,AbiolaSeriki_
11,2016-11-30 16:37:43+00:00,804001471536697344,"The Naira on Wednesday appreciated marginally against the dollar at the interbank market, gaining 25k to exchange... https://t.co/2AtlfInXBZ",niyitabiti
12,2016-11-30 16:16:36+00:00,803996158993584129,@Bolusticbolu Kindly note that the Bank has restricted international transactions on all naira cards. You require a dollar card for PayPal.,ZenithBank
13,2016-11-30 15:28:57+00:00,803984165498712064,@Raynergy Those who clicked one dollar one naira deserve a slap that will alter their DNA 's,CrownedJessica
14,2016-11-30 15:28:52+00:00,803984146653659137,Naira falls to N420 against a dollar https://t.co/n8yrwArh4C #premiumherald,theliteraryfair
15,2016-11-30 15:04:56+00:00,803978124874510337,@AfricaFactsZone @IsimaOdeh naira or dollar?,Yxng_shifu
16,2016-11-30 14:20:22+00:00,803966907057664001,"DailyPostNGR: Naira crashes further, sells at 480 to one dollar - https://t.co/jf5fX5JBsT",ikmuhd
17,2016-11-30 14:15:29+00:00,803965678210453504,"Naira crashes further, sells at 480 to one dollar - https://t.co/yhOQOSx34D",DailyPostNGR
18,2016-11-30 13:57:30+00:00,803961152145387520,"Today’s Exchange Rate Of The Nigerian Naira Against The Dollar, Euro And Pounds https://t.co/5FFVEmN8sa",OsigweOikirodah
19,2016-11-30 13:52:18+00:00,803959845519028228,"Months ago, I wrote a business plan n pegged Naira at 300 to a dollar, wat do we ave today? But nope you are more interested in regulation. https://t.co/kWTXsEa9Pe",JstLeslie
20,2016-11-30 13:28:17+00:00,803953798704230400,"@call_me_reme the dollar is 1.25 to a pound. If that goes to 2, I think it is a significant change. Doesn't have to be the naira equivalent.",LordKudolo
21,2016-11-30 12:43:57+00:00,803942642576932864,See The New Rate Of Naira Against Dollar As At 29/11/16 https://t.co/ZZlTTBPw3c https://t.co/Gvy33P9dlS,derekekhoe
22,2016-11-30 12:07:44+00:00,803933531143569408,@2undie like one dollar to one naira abi. Like 3million jobs per year,citrusoliver
23,2016-11-30 11:47:28+00:00,803928429754286080,"@yinkanubi @mackaybus its simple, MTN 4 example would repatriate profit in dollar not naira. Is MTN happy 2offer it's data at current rate?",lekincool
24,2016-11-30 11:30:55+00:00,803924264638353408,"Business Nigeria - 30/11/2016: Today's Naira Rate Against The Dollar...: ...action, the… &gt;&gt; https://t.co/V2NR0qZFaE &lt;&lt;",VOFNEvents
25,2016-11-30 11:28:34+00:00,803923671278612480,"Exchange Rate 30/11/16: Today’s Naira Rate Against Dollar, Pound and Euro https://t.co/PhwOExJm7K https://t.co/fxpVaLIPwb",yitsugee
26,2016-11-30 11:28:09+00:00,803923568933433344,"Exchange Rate 30/11/16: Today’s Naira Rate Against Dollar, Pound and Euro https://t.co/j6UqdjStJ8 https://t.co/BPUMSoOtNL",itsmrokay
27,2016-11-30 10:47:48+00:00,803913414036910084,Business Nigeria - 30/11/2016: Today's Naira Rate Against The Dollar...: Ogbeni Rauf Aregbesola… &gt;&gt; https://t.co/mI83QyQ2or &lt;&lt;,VOFNRomance
